,FECHA_DOC,DESCR,COSTO_UNITARIO
184,2022-02-17,"AEROPACK J 1/16""ØX2"" T-1/8""ØX11/2"" EXT1M",36.53
185,2022-02-18,"TEA K 1/2""ØX53CM CO/1/2""NPT INOX C/MARIN",672.74
186,2022-02-18,"TEA K 1/2""ØX130CM CO/1/2""NPT INOX C/MARI",1190.42
187,2022-02-18,"TER K 1/4""ØX2"" EXT.1MT RESORT C/MINI MAC",0.0
188,2022-02-18,"TER T 3/16""ØX51CMX6CM EXT2MT CON-1/8 90°",0.0
189,2022-02-18,"TER T 3/16""ØX127MMX6CM EXT5MT CON-1/8 90",0.0
190,2022-02-18,"TUB INOX 5/16""ØX203MM 1500W 240V U TAP1""",112.61
191,2022-02-18,"TEA K 1/2""Øx1800mm CON1/2-1/2 C/MARINA",0.0
192,2022-02-18,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,38.96
193,2022-02-21,"TUB INOX 5/16""ØX800MM 2000W127V ""J"" TBOY",227.18
194,2022-02-21,"TEA K 1/2""ØX18""X24"" ESCUADRA BLOCK/CMARI",0.0
195,2022-02-21,"TUB ALETADA 5/16""ØX32CM 750W 220 V",304.25
196,2022-02-22,"TERMOPAR CERAMICO T/K"" LONG 18"" CAL 8""",173.0
197,2022-02-22,REPARACION SELLADORA PCS300,29.9
198,2022-02-22,"TERMOPAR CERAMICO T/K"" LONG 24"" CAL 8""",222.0
199,2022-02-22,"TUB INOX 7/16""ØX80CM 960W 240V RECTA T/T",0.0
200,2022-02-22,"TUB INOX 3/8""ØX33.5CM 6000W480V ""U"" PLAC",378.69
201,2022-02-22,"BOQUILLA 11/2X1""1/2"" 300W 240V""",220.0
202,2022-02-22,"BOQUILLA 11/2X1""1/2"" 300W 240V""",0.0
203,2022-02-22,"TERMOPAR K 3/16Ø  X 1'  1/2 EXT. 2 MT""",0.0
204,2022-02-23,TUB ESP 10MMØX1985MM 1000W 440V BUS/SOPO,0.0
205,2022-02-23,"BAN P INOX 1 1/2""X12"" 240V W-MAX",37.66
206,2022-02-23,"BAN P INOX 1 1/2""X14"" 240V W-MAX",44.54
207,2022-02-23,"BAN P INOX 1 1/2""X16"" 240V W-MAX",48.09
208,2022-02-23,"BAN P INOX 1 1/2""X18"" 240V W-MAX",51.09
209,2022-02-23,"BAN INOX 12""ØX 1 1/2"" 1250W 240V C/ALLEN",141.49
210,2022-02-23,"BAN INOX 14""ØX 1 1/2"" 1500W240V C/ALLEN",201.21
211,2022-02-23,"BAN INOX 16""ØX1 1/2"" 1750W 240V C/ALLEN",188.85
212,2022-02-23,"BAN INOX 20""ØX 11/2"" 2300W 240C C/ALLEN",297.2
213,2022-02-23,"BAN P INOX 7""X1 1/2"" 900W 240V T/TOR",30.17
214,2022-02-23,"TER J 1/4""X1/2"" EXT1MT TORNILLO LOCO",54.82
215,2022-02-23,"TUB INOX 5/16""Øx197CM 2500W 220V ""M"" ESP",0.0
216,2022-02-23,"RC 5/8""ØX748MM 1100W220V T/TORNILLO",0.0
217,2022-02-23,"CAS INOX 5/8""ØX4"" 600W 127V EXT 30CM",112.8
218,2022-02-23,"CAS INOX 5/8""ØX4"" 600W 127V EXT 30CM",112.8
219,2022-02-23,"TUB INOX 5/16""ØX800MM 2000W127V ""J"" TBOY",0.0
220,2022-02-24,CBS INOX 27MMØX180CM 1000W 440V CAJA ESP,0.0
221,2022-02-24,"TUB INCOL 5/16""ØX355MM 9000W240V J T/BOI",0.0
222,2022-02-24,"TEA J"" 3/16""Øx22MM EXT2MT BAY2GIR/ADAPT",101.99
223,2022-02-24,"ELEM K CAL. 8 x12"" C/FUNDA CERAMICA",0.0
224,2022-02-24,"CAS INOX 1/2""X5"" 250W 240V EXT30CM",0.0
225,2022-02-25,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1179.22
226,2022-02-25,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1179.22
227,2022-02-25,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1179.22
228,2022-02-25,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1179.22
229,2022-02-25,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1179.22
230,2022-02-25,"TUB INOX 1/2""ØX2018MM 4000W 250V ESP/BUS",338.28
231,2022-02-25,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 6 MT,160.14
232,2022-02-25,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 4 MT,106.55
233,2022-02-25,TERMOPAR J 3/16 Ø X 1' 1/2 EXT.  5 MT,137.48
234,2022-02-25,"TEA J"" 3/16""Øx22MM EXT2MT BAY2GIR/ADAPT",119.05
235,2022-02-25,CART INOX 11.43mmØx450mm 300W 48V CABLE,0.0
236,2022-02-25,CARTUCHO Ø 8 MM X340 MM 500W 220 V,127.62
237,2022-02-25,CARTUCHO ESC.Ø 8MM X 325 MM 500W 220V,120.29
238,2022-02-25,CARTUCHO Ø8MM X 260MM 500W 220V,113.69
